date,title,user,views,recommends,unrecommends
2024-08-30 15:28,찬티들 괜찮아?,"
				koko****
			",142,1,3
2024-08-30 15:28,이상황이 맞는거냐,"
				33ha****
			",120,3,0
2024-08-30 15:27,금감원,"
				jung****
			",138,5,1
2024-08-30 15:27,동시호가 개쩌네 ㅋㅋ,"
				shra****
			",216,3,1
2024-08-30 15:27,북한도 갈라치기 한 윤석열과 문재인,"
				cold****
			",60,1,1
2024-08-30 15:27,오메 이게 웬 떡? ㅋㅋ,"
				in******
			",133,5,0
2024-08-30 15:26,개수작 말고 빨리 올려놔라,"
				gusd****
			",79,2,0
2024-08-30 15:25,제자리 가져다놓아라,"
				33ha****
			",117,4,2
2024-08-30 15:25,안되겠지 설마~~,"
				hull****
			",222,1,1
2024-08-30 15:24,월말 매매,"
				inpy****
			",71,0,0
2024-08-30 15:24,뭔일 났어요?,"
				kys4****
			",102,5,0
2024-08-30 15:22,정회장은 큰 실수한거다,"
				koko****
			",235,2,3
2024-08-30 15:22,뭐지?,"
				veni****
			",298,5,0
2024-08-30 15:18,현대차 찬티들 두들겨 패는건 신한이 전문이야,"
				koko****
			",124,2,3
2024-08-30 15:15,하루이틀도 아니고,"
				free****
			",110,4,0
2024-08-30 15:08,뭐? 내일은 어떠냐고???,"
				se******
			",206,2,2
2024-08-30 15:19,뭐? 내일은 어떠냐고???,"
				j714****
			",25,0,1
2024-08-30 15:06,음봉탕이라 맹탕보다는 맛있겠지? ㅋㅋㅋㅋㅋㅋ,"
				in******
			",66,0,1
2024-08-30 15:03,신한 물량,"
				thwj****
			",200,2,2
2024-08-30 15:02,현대차 찬티 금융치료 전문가 신한,"
				koko****
			",72,1,3
2024-08-30 14:59,오르겠지만..,"
				kake****
			",75,0,2
2024-08-30 14:48,호구들이나 현대차 주식사지,"
				koko****
			",221,1,6
2024-08-30 14:46,아침에 주가 올려서 개미 따라오게하고는,"
				jjs5****
			",138,7,0
2024-08-30 14:46,아이구 짜증나네 ,"
				kwon****
			",95,3,1
2024-08-30 14:43,신한 마음에 든다,"
				koko****
			",95,0,6
2024-08-30 14:40,신한 이넘들 뺄거면 초장에 확 내려 주던지,"
				kaja****
			",110,3,0
2024-08-30 14:39,패턴,"
				to1t****
			",103,3,0
